"applicant_id","municipality","application_year","selected","male","age_at_application","has_phone","ses_stratum","neighborhood","age_at_survey","survey_month","survey_form","household_visit","mother_educ","father_educ","mother_age","father_age","father_income_high","receiving_aid_now","started_g6_private","started_g7_private","in_private_now","in_school_now","highest_grade","finished_g6","finished_g7","finished_g8","repeats_g6","ever_repeated","total_repeats","years_in_school","married_or_cohab","has_child","working","hours_worked","cohort","selected_clean","male_clean","has_phone_clean","survey_form_clean","household_visit_clean","father_income_high_clean","receiving_aid_now_clean","started_g6_private_clean","started_g7_private_clean","in_private_now_clean","in_school_now_clean","finished_g6_clean","finished_g7_clean","finished_g8_clean","ever_repeated_clean","married_or_cohab_clean","has_child_clean","working_clean","ses_stratum_clean","neighborhood_clean","survey_month_clean","repeats_g6_clean","total_repeats_clean","age_change","age_unverifiable","age_decreased","age_unchanged","age_outside_2_to_4","age_at_survey_clean","grade_conflict","grade_below_5_review","school_years_below_grade_progress_review","finished_g6_conflict","finished_g7_conflict","finished_g8_conflict","repeats_conflict","private_school_conflict","mother_child_age_gap","mother_age_gap_over_60","mother_age_clean","father_child_age_gap","father_age_gap_over_60","father_age_clean","work_hours_conflict","years_in_school_above_4","years_in_school_exceeds_age_gap_plus_1","primary_logic_flag"
100000,"A",2022,0,1,12,1,3,,12,7,1,0,8,9,37,37,0,0,1,1,1,1,6,1,0,0,0,0,0,2,0,0,0,0,"A_2022",0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,3,,7,0,0,0,FALSE,FALSE,TRUE,TRUE,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,FALSE,37,25,FALSE,37,FALSE,FALSE,TRUE,FALSE
100001,"A",2020,1,1,12,1,2,17,15,4,1,0,,,56,52,0,0,1,1,1,1,9,1,1,1,0,0,0,4,0,0,0,0,"A_2020",1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,2,17,4,0,0,3,FALSE,FALSE,FALSE,FALSE,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41,FALSE,56,37,FALSE,52,FALSE,FALSE,FALSE,FALSE
100002,"A",2020,1,0,13,1,2,7,16,4,0,0,5,5,37,48,1,0,1,1,1,1,8,1,1,1,1,1,1,4,0,0,0,0,"A_2020",1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,2,7,4,1,1,3,FALSE,FALSE,FALSE,FALSE,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,FALSE,37,32,FALSE,48,FALSE,FALSE,FALSE,FALSE
100003,"A",2020,1,0,13,1,2,19,15,3,0,0,0,0,60,64,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0,"A_2020",1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2,19,3,0,0,2,FALSE,FALSE,FALSE,FALSE,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45,FALSE,60,49,FALSE,64,FALSE,FALSE,TRUE,FALSE
100004,"A",2020,0,0,12,1,1,5,14,3,0,0,3,4,46,52,0,0,0,0,0,1,8,1,1,1,0,0,0,4,0,0,0,0,"A_2020",0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,5,3,0,0,2,FALSE,FALSE,FALSE,FALSE,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,FALSE,46,38,FALSE,52,FALSE,FALSE,TRUE,FALSE
100005,"A",2022,1,1,11,1,2,,12,7,1,0,7,5,37,36,0,1,1,1,1,1,6,1,0,0,0,0,0,2,0,0,0,0,"A_2022",1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,2,,7,0,0,1,FALSE,FALSE,FALSE,TRUE,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,FALSE,37,24,FALSE,36,FALSE,FALSE,FALSE,FALSE
100006,"A",2022,1,0,10,1,3,,11,8,1,0,7,,39,,,1,1,1,1,1,6,1,0,0,0,0,0,2,0,0,0,0,"A_2022",1,0,1,1,0,,1,1,1,1,1,1,0,0,0,0,0,0,3,,8,0,0,1,FALSE,FALSE,FALSE,TRUE,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,FALSE,39,,FALSE,,FALSE,FALSE,FALSE,FALSE
100007,"A",2020,0,1,11,1,2,19,14,3,0,0,,8,26,37,0,0,1,1,1,1,7,1,1,0,0,0,0,4,0,0,0,0,"A_2020",0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,2,19,3,0,0,3,FALSE,FALSE,FALSE,FALSE,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,FALSE,26,23,FALSE,37,FALSE,FALSE,FALSE,FALSE
100008,"A",2020,0,0,11,1,2,,14,8,1,0,5,5,40,46,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0,"A_2020",0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,2,,8,0,0,3,FALSE,FALSE,FALSE,FALSE,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,FALSE,40,32,FALSE,46,FALSE,FALSE,FALSE,FALSE
100009,"A",2020,1,0,12,1,2,18,15,3,0,0,5,3,40,42,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0,"A_2020",1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2,18,3,0,0,3,FALSE,FALSE,FALSE,FALSE,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,FALSE,40,27,FALSE,42,FALSE,FALSE,FALSE,FALSE
