applicant_id,municipality,application_year,selected,male,age_at_application,has_phone,ses_stratum,neighborhood,age_at_survey,survey_month,survey_form,household_visit,mother_educ,father_educ,mother_age,father_age,father_income_high,receiving_aid_now,started_g6_private,started_g7_private,in_private_now,in_school_now,highest_grade,finished_g6,finished_g7,finished_g8,repeats_g6,ever_repeated,total_repeats,years_in_school,married_or_cohab,has_child,working,hours_worked,cohort,private_history_g6_g7_current,g6_to_current_exit,g6_to_g7_nonprivate_start,earlier_private_to_current_exit,g6_private_g7_nonprivate_current_private,current_exit_schooling_status,age_change
100011,A,2022,1,1,12,1,2,,13,10,1,0,,8.0,,38.0,0,0,1,0,0,1,5,0,0,0,0,0,0,2,0,0,0,0.0,A2022,1->0->0,1,1,1,0,enrolled_nonprivate,1.0
100017,A,2022,1,0,13,1,2,,14,4,1,0,0.0,2.0,34.0,50.0,0,1,1,1,0,1,7,1,1,0,0,0,0,2,0,0,0,0.0,A2022,1->1->0,1,0,1,0,enrolled_nonprivate,1.0
100027,A,2020,0,1,12,1,,,14,4,0,0,5.0,,42.0,,,0,1,0,0,1,8,1,1,1,0,0,0,4,0,0,1,8.0,A2020,1->0->0,1,1,1,0,enrolled_nonprivate,2.0
100029,A,2022,0,1,12,1,2,,13,6,1,0,8.0,6.0,32.0,32.0,,0,1,0,0,1,6,1,0,0,0,0,0,2,0,0,0,0.0,A2022,1->0->0,1,1,1,0,enrolled_nonprivate,1.0
100031,A,2020,1,1,12,1,1,,15,4,0,0,,,40.0,39.0,0,0,1,1,0,1,7,1,1,0,0,1,1,4,0,0,0,0.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,3.0
100036,A,2020,1,0,11,1,2,,15,3,1,0,,,,,,0,1,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0.0,A2020,1->0->0,1,1,1,0,not_currently_enrolled,4.0
100041,A,2020,0,0,15,1,1,,17,5,0,0,6.0,5.0,41.0,47.0,0,0,1,1,0,0,6,1,0,0,0,0,0,2,0,0,0,0.0,A2020,1->1->0,1,0,1,0,not_currently_enrolled,2.0
100042,A,2020,1,1,15,1,1,6,18,3,0,0,3.0,4.0,58.0,59.0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0.0,A2020,1->0->0,1,1,1,0,not_currently_enrolled,3.0
100043,B,2018,1,1,13,0,,,18,7,1,0,,2.0,,52.0,0,0,0,1,0,0,7,1,1,0,0,0,0,3,0,0,0,0.0,B2018,0->1->0,,,1,0,not_currently_enrolled,5.0
100046,A,2020,1,0,12,1,2,18,15,4,1,0,11.0,5.0,34.0,40.0,0,0,1,1,0,1,9,1,1,1,0,0,0,4,0,0,0,0.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,3.0
100047,B,2018,1,0,11,0,2,,17,8,1,1,6.0,,36.0,,,0,1,0,0,0,7,1,1,0,0,0,0,3,1,0,0,0.0,B2018,1->0->0,1,1,1,0,not_currently_enrolled,6.0
100048,A,2020,0,0,13,1,2,6,15,3,0,0,0.0,3.0,40.0,52.0,0,0,1,0,0,0,5,0,0,0,1,1,1,2,1,1,0,0.0,A2020,1->0->0,1,1,1,0,not_currently_enrolled,2.0
100050,A,2020,1,0,12,1,2,7,14,3,0,0,5.0,7.0,37.0,52.0,0,0,1,0,0,0,7,1,1,0,1,1,1,3,0,1,0,0.0,A2020,1->0->0,1,1,1,0,not_currently_enrolled,2.0
100060,A,2020,1,1,15,1,1,5,17,8,1,0,5.0,5.0,50.0,36.0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0.0,A2020,1->0->0,1,1,1,0,not_currently_enrolled,2.0
100062,A,2020,1,1,12,1,2,19,15,4,0,0,7.0,5.0,39.0,44.0,,0,1,0,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0,A2020,1->0->1,0,1,0,1,not_an_observed_current_exit,3.0
100064,A,2020,0,1,12,1,1,5,14,2,0,0,9.0,5.0,38.0,41.0,0,0,1,0,0,1,8,1,1,1,0,0,0,4,0,0,0,0.0,A2020,1->0->0,1,1,1,0,enrolled_nonprivate,2.0
100069,A,2020,1,0,10,1,2,,13,7,1,0,11.0,11.0,28.0,42.0,0,0,1,1,0,1,7,1,1,0,0,1,1,4,0,0,0,0.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,3.0
100072,A,2020,0,1,,1,2,5,15,4,0,0,11.0,4.0,39.0,41.0,0,0,1,1,0,0,6,1,0,0,0,0,0,2,0,0,1,40.0,A2020,1->1->0,1,0,1,0,not_currently_enrolled,
100073,A,2020,0,0,14,1,1,5,17,4,0,0,5.0,,39.0,59.0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,1,40.0,A2020,1->0->0,1,1,1,0,not_currently_enrolled,3.0
100076,A,2020,1,1,14,1,,19,17,3,0,0,7.0,5.0,34.0,41.0,0,0,1,0,0,0,6,1,0,0,1,1,1,2,0,0,1,40.0,A2020,1->0->0,1,1,1,0,not_currently_enrolled,3.0
100078,A,2020,1,1,16,1,2,12,18,6,0,0,5.0,,53.0,,,0,1,1,0,0,8,1,1,1,0,0,0,3,0,0,1,40.0,A2020,1->1->0,1,0,1,0,not_currently_enrolled,2.0
100083,A,2020,1,1,11,1,2,11,14,8,1,0,6.0,6.0,47.0,46.0,0,0,1,1,0,1,7,1,1,0,0,1,1,4,0,0,0,0.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,3.0
100084,A,2020,1,0,,1,,11,16,1,0,1,4.0,,38.0,,,0,1,0,0,0,6,1,0,0,0,0,0,1,1,1,0,0.0,A2020,1->0->0,1,1,1,0,not_currently_enrolled,
100092,A,2020,1,0,13,1,2,17,16,7,1,0,6.0,,37.0,,,0,1,1,0,1,7,1,1,0,0,1,1,4,0,0,1,10.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,3.0
